Data Broker Name,Email Address (Accessible to the public),Website URL,Privacy policy URL,Opt out URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added to California AG list ( https://oag.ca.gov/data-brokers ),Kanary,Vermont ID,stopdatamining.me,Criteo data partner,Excessive opt-out,Notes
"AccuData Integrated Marketing, Inc.",privacy.compliance [at] accudata.com,http://www.accudata.com,,,"5220 Summerlin Commons Blvd.Suite 200Fort Myers, FL 33907United States","Consumers can submit CCPA requests through our link http://optout.accudata.com/request/opt-out, by emailing privacy.compliance@accudata.com or by visiting www.AccuData.com and reviewing our Privacy Policy.","Consumers can submit CCPA requests through our link http://optout.accudata.com/request/opt-out, by emailing privacy.compliance@accudata.com or by visiting www.AccuData.com and reviewing our Privacy Policy.",Consumers can visit www.AccuData.com and review our Privacy Policy as well as our Consumer Information link.,02/07/2020,,353027,,,,"ACCUDATA INTEGRATED MARKETING, INC."
Accuity Inc.,consumer.documents [at] lexisnexis.com,http://www.accuity.com,,,"1007 Church Street6th FloorEvanston, IL 60201United States","California consumers may opt out or submit requests under the CCPA at:
https://consumer.risk.lexisnexis.com/california

California consumers may also submit a request by phone at 1-888-217-1591 or by mail at: 
Consumer Center
Attn: California Consumer Privacy Act (CCPA) Request
 P.O. Box 105108
Atlanta, GA 30348-5295","Protected individuals can submit requests by phone at 1-888-217-1591 or at:

LexisNexis Individual Requests for Information Suppression
PO Box 933 
Dayton, OH 45401 
Email: privacy.information.mgr@lexisnexis.com","Addition information is available at: 

https://consumer.risk.lexisnexis.com/california",02/07/2020,,367912,,,,Accuity Inc.
Acxiom LLC,consumeradvo [at] acxiom.com,http://acxiom.com,,https://isapps.acxiom.com/optout/optout.aspx,"301 East Dave Ward DriveConway, AR 72032United States","California consumers may opt out of the sale of their personal information by submitting an online request to www.acxiom.com/optout. Consumers may also submit an email request to consumeradvo@acxiom.com or by direct mail or telephone. Our telephone number is 1-877-774-2094. Our mailing address is: Acxiom LLC, Attn: Consumer Care Advocate - CCPA Requests, P. O. Box 2000, Conway, AR 72033. Detailed information and instructions on how a California consumer may exercise their rights under CCPA can be found at: https://www.acxiom.com/what-we-are-thinking/california-consumer-privacy-act/for-consumers/.","California consumers and/or elected or appointed officials may submit an opt-out request by submitting an online request to www.acxiom.com/optout. Consumers and/or elected or appointed officials may also submit an email request to consumeradvo@acxiom.com or by direct mail or telephone. Our telephone number is 1-877-774-2094. Our mailing address is: Acxiom LLC, Attn: Consumer Care Advocate - CCPA Requests, P. O. Box 2000, Conway, AR 72033.",An in-depth discussion of Acxiom's data collection practices can be found at: https://www.acxiom.com/about-us/privacy/highlights-for-us-products-privacy-policy/.,01/22/2020,,352752,14 Apr 2020,,,ACXIOM LLC
Adaptly,,,,,,,,,,,,,,,See Accenture
Addresses.com,,,,http://www.addresses.com/optout.php,,,,,,13 Apr 2020,,,,,
AddressSearch,,,,http://www.addresssearch.com/remove-info.php,,,,,,13 Apr 2020,,,,,
"adMarketplace, Inc.",privacy [at] admarketplace.com,http://www.admarketplace.com,,,"1385 Broadway19th FloorNew York, NY 10018United States",Navigating to our contact page on https://www.admarketplace.com/contact/ and then selecting both the California Resident and the opt out link. Or email privacy@admarketplace.com.,Post a question on our contact page on https://www.admarketplace.com/contact/ or email privacy@admarketplace.com.,,03/03/2020,,,,,,
Adobe,,adobe.com,https://www.adobe.com/privacy.html,,,,,,,,,,25 May 2020,,
"Adrea Rubin Marketing, Inc.",jenniferv [at] adrearubin.com,http://www.adrearubin.com,,,"19 West 44th Street, Suite 1415New York, NY 10036United States",A consumer may opt out of sale or submit requests under the CCPA by either calling a number listed on our website or filling out a form on our website.,We do not knowingly and intentionally publicly post or publicly display on the Internet the home address or home telephone number of any person. A protected individual can contact us by either calling a number listed on our website or filling out a form on our website.,A credentialing process is implemented to prevent data usage for nefarious purposes.,01/31/2020,,367703,,,,"Adrea Rubin Marketing, Inc,"
"Adrea Rubin Media, Inc. dba Calibrant Digital",jenniferv [at] adrearubin.com,http://www.calibrant.com,,,"19 West 44th StreetSuite 1415New York, NY 10036United States","A consumer may opt out of sale or submit requests under the CCPA by either calling a number listed on our website or filling out a form on our website.

Numbers listed on both websites www.adrearubin.com and www.calibrant.com",We do not knowingly and intentionally publicly post or publicly display on the Internet the home address or home telephone number of any person. A protected individual can contact us by either calling a number listed on our website or filling out a form on our website.,A credentialing process is implemented to prevent data usage for nefarious purposes.,01/31/2020,,367709,,,,"Adrea Rubin Media, Inc. dba Calibrant Digital"
Advanced Background Checks,,,,https://www.advancedbackgroundchecks.com/removal,,,,,,,,,,,
Advalo,,,https://www.advalo.com/en/personal-data-privacy-policy,,,,,,,,,,25 May 2020,,
Advertise4Sales LLC,,4LegalLeads.com,,,"2602 S 38th St, #38, Tacoma, WA, 98409, USA",,,,,,366917,,,,
Affectv,dataprotection [at] gemserv.com,https://affectv.com/,,,"14 E 4th Street, New YorkNew York 10012, USANew York, NY 10012United States","Through contacting privacy@affectv.com through our website, or, to opt out of cookies information used for online advertising (the only data Affectv 'sell'), by clicking on the Opt Out link on our website. We are shortly rolling out a CCPA-compliant cookie banner in place that will include a Do Not Sell My Personal Information button and will shortly implement a specific Do Not Sell My Personal Information link on our website.",No information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1) (this relates to government and other public sector individuals’ information being posted online).,"Affectv are an online advertising agency. The only personal information of consumers with whom we do not have a direct relationship with that we collect or sell is of browsing history and interests as collected by cookies on certain publisher websites, and which we share with our advertising partners.",02/27/2020,,,,,,
ALC LLC,,www.alc.com,,,"750 College Road East, Suite 201, Princeton, NJ, 08540, USA",,,,,,367551,,,,
"All Global Resources, LLC",drieke [at] executiveenergy.com,http://www.executiveenergy.com/all-global-resources/,,,"6275 S. Pearl StreetSuite 100Las Vegas, NV 89120United States",Online.,Online and via mail.,,02/07/2020,,367847,,,,"All Global Resources, LLC"
All The Way Up LTD,,www.swordfishapp.com,,https://swordfishapp.com/Optout,"Unit 1, Knighton Heath, Ringwood Road, Bournemouth, Dorset, BH118NE, GBR",,,,,,370396,,,,
"All Web Leads, Inc",onlineops [at] allwebleads.com,http://www.allwebleads.com,,,"7300 FM 2222Building 2, Suite 100Austin, TX 78730United States",A consumer may contact AWL Inc per instructions listed on http://www.allwebleads.com/privacy/ to opt out of sale or submit CCPA requests,A consumer may contact AWL Inc per instructions listed on http://www.allwebleads.com/privacy/ to demand deletion.,,02/12/2020,,,,,,
"Allant Group, LLC",privacy [at] allantgroup.com,http://www.allantgroup.com/,,,"2655 Warrenville RdSuite 200Downers Grover, IL 60515United States","Notify Allant Group, LLC using instructions in Privacy Policy at www.allantgroup.com, emailing privacy@allantgroup.com, or by calling (800) 367-7311.","Notify Allant Group, LLC using instructions in Privacy Policy at www.allantgroup.com, emailing privacy@allantgroup.com, or by calling (800) 367-7311.",Allant does not collect consumer data directly. When we use third party data we adhere to the terms and conditions defined by those parties.,01/29/2020,,,,,,
"Alliance Data Systems, Inc.",,alliancedata.com,,,,,,,,,,,,,
"Alliant Cooperative Data Solutions, LLC",compliance [at] alliantdata.com,http://AlliantData.com,,,"301 Fields Ln.Brewster, NY 10509United States",The consumer may opt out of Alliant's consumer data products through the automated opt out page at https://alliantdata.com/data-services-and-website-privacy-policy/.,"Alliant does not display or permit the display of such information, or operate a website that involves user generated content.",None.,02/07/2020,,367873,,,,"Alliant Cooperative Data Solutions, LLC"
"American City Business Journals, Inc.",legal [at] bizjournals.com,https://www.acbj.com,,,"120 W. Morehead St.Charlotte, NC 28202United States",Through a link on our website,Through a link on our website,,02/27/2020,,,,,,
Ameridex,info@ameridex.com,http://ameridex.com/,,,,,,,,,,,,,
Amerilist Inc,,www.amerilist.com,,,"40 Ramland Rd So, Ste 203b, Orangeburg, NY, 10962, USA",,,,,,368187,,,,
"Amobee, Inc.",amobeeprivacy [at] amobee.com,https://www.amobee.com/,,,"10201 Wateridge CircleSuite 400San Diego, CA 92129United States",Please visit our Consumer Opt Opt page here: https://www.amobee.com/trust/consumer-opt-out/,Please visit our CCPA portal here: https://www.amobee.com/ccpa/,Please review our Privacy Guidelines here: https://www.amobee.com/trust/privacy-guidelines/,03/03/2020,,,,,,
"AmRent, Inc.",,https://www.amrent.com/,,,"250 East Broad Street, Columbus, OH, 43215, USA",,,,,,367687,,,,
"ANALYTICSIQ, INC.",,www.analytics-iq.com,,,"115 Perimeter Center Place, Suite 635, Atlanta, GA, 30346, USA",,,,,,353086,,,,
Anchor Computer Inc.,mfarrugia [at] anchorcomputer.com,https://www.anchorcomputer.com/,,,"1900 New HwyFarmingdale, NY 11735United States",https://ecom2.anchorcomputer.com/ccpa,,,01/30/2020,,,,,,Opt out link not sent to California
Andrews Wharton Inc.,,https://andrewswharton.com,,,"700 Veterans Hwy Ste 115, Hauppauge, NY, 11788 - 2929, USA",,,,,,367766,,,,
AnyWho,,,,https://www.anywho.com/help/privacy,,,,,,13 Apr 2020,,,,,
"APIHub, Inc.",privacy [at] clearbit.com,http://www.clearbit.com,,,"90 Sheridan StSan Francisco, CA 94103United States","Please visit our website Privacy Policy at www.clearbit.com/privacy to view our Privacy Policy (including our CCPA Policy), which includes a link to our opt-out of sale form and instructions to submit other requests under CCPA. We also include the link on our homepage as required by CCPA.",All deletion requests for all individuals (including those protected under Gov. Code sections 6208.1(b) or 6254.21(c)(1)) can be processed either through our profile claim form at claim.clearbit.com/claim or by emailing privacy@clearbit.com,www.clearbit.com/privacy,02/12/2020,,,,,,
"Apollo Interactive, Inc.",requests [at] apollointeractive.com,http://www.apollointeractive.com/,,,"139 Illinois StEl Segundo, CA 90245United States","A consumer may opt out of sale by clicking on the ""Do Not Sell My Information"" link on our web page and filling out the form. Data requests can be submitted to requests@apollointeractive.com. More information is available in our privacy policy.",Data requests can be submitted to requests@apollointeractive.com. More information is available in our privacy policy.,More information is available in our privacy policy.,02/12/2020,,,,,,
Archives,,,,https://www.archives.com/optout,,,,,,,,,,,
Aristotle / Voter Lists Online,,,,,,,,,,,,,,,
Aristotle International Inc.,Info [at] aristotle.com,http://www.Aristotle.com,,http://www.aristotle.com/content/view/31/152/,"205 Pennsylvania Avenue SEWashington, DC 20003United States",California residents may exercise their rights under the CCPA by visiting our website at www.aristotle.com. CCPA privacy request by phone: 888-217-9600,California residents may exercise their rights under the CCPA by visiting our website at www.aristotle.com. CCPA privacy request by phone: 888-217-9600,Information about Aristotle practices can be found in this link www.Aristotle.com,02/07/2020,,,14 Apr 2020,,,
"Arity 875, LLC",privacy [at] arity.com,https://www.arity.com,,,"222 W Merchandise Mart PlazaSuite 875Chicago, IL 60654United States",California consumers may opt out of the sale of their personal information by selecting the link toward the bottom of the Arity website www.arity.com or via Arity’s privacy statement. Arity’s sharing that may be considered a sale of personal information is limited.,California consumers may exercise their deletion right by visiting arity.consumerprivacyinfo.com or emailing us at consumerrequests@arity.com.,"Arity uses advertising identifiers associated with consumer’s mobile device (commonly known as a Mobile Ad ID) to serve third-party interest-based advertising based on their driving habits. Under California law, sharing these unique advertising identifiers for online advertising may be considered a “sale” of information. Except for this kind of sharing, Arity does not sell any personal information.",02/27/2020,,,,,,
ASLMarketing Inc.,JKaye [at] aslmarketing.com,http://ASLmarketing.com,,,"500 Bi County BoulevardSuite 460Farmingdale, NY 11735United States","Effective, January 2020, in compliance with the California Consumer Privacy Act, we provide California residents enhanced opportunities to obtain (and if they so choose, correct) their data files, by making verified access requests to us. 

When we receive a consumer’s do not sell request, once verified, the entire data file is removed from our active databases entirely and no longer disclosed to our third party providers; we maintain those names in a suppression file.

Consumers are able to request that we delete their data files that we hold by contacting us by phone, mail, or email. Our privacy policy includes links to an email where consumers can contact ASL and provides all the necessary contact information and directions to make such a request.

https://aslmarketing.com/opt-out/","ASL does not engage in the practice of publicly displaying or permitting the display of such information. Additionally, we do no operate a website that involves user generated content.",,02/07/2020,,353280,,,,ASL MARKETING INC
Audience Acuity LLC,privacy [at] audienceacuity.com,https://audienceacuity.com/,,,"10845 Griffith Peak Dr. Suite 200Las Vegas, NV 89135United States",Consumers should go to https://audienceacuity.com/opt-out-of-database/ to opt-out. Consumers may also call (800) 730-3451 or email privacy@audienceacuity.com or visit our website at https://audienceacuity.com/contact/ for any CCPA requests.,Consumers should go to https://audienceacuity.com/opt-out-of-database/ to opt-out. Consumers may also call (800) 730-3451 or email privacy@audienceacuity.com or visit our website at https://audienceacuity.com/contact/ for any CCPA requests.,,02/12/2020,,,,,,
"Austin Consolidated Holdings, Inc.",usprivacy [at] equifax.com,https://www.equifax.com/personal/,,,"11 E. 7th StreetSuite 620Austin, TX 78701United States",through a link on our website,We do not post personal information online so this is not applicable.,Please visit https://www.equifax.com/privacy/privacy-statement/ to review our Privacy Statement for more information.,02/27/2020,,368503,,,,"Austin Consolidated Holdings, Inc."
"Automation Research, Inc. d/b/a DataVerify",,https://dataverify.com,,,"250 East Broad Street, Columbus, OH, 43215, USA",,,,,,367661,,,,
automotive Mastermind,info [at] automotivemastermind.com,https://www.automotivemastermind.com/,,,"One Park Avenue 14th FloorNew York, NY 10038United States","https://www.automotivemastermind.com/california-consumer-privacy-act/
1-800-801-0018","https://app.onetrust.com/app/#/webform/7020d814-78eb-45f1-bfbb-491ca1076fdd
1-800-801-0018",https://www.automotivemastermind.com/privacy-policy/,04/08/2020,,,,,,
Avrick Direct Inc,Sandra [at] Avrick.com,http://AvrickDirect.com,,,"7120 185th Ave NEPO Box 140Redmond, WA 98052United States","Email: privacy.compliance@avrickdirect.com
Online: http://privacy.avrickdirect.com/request/opt-out","Email: privacy.compliance@avrickdirect.com
Online: http://privacy.avrickdirect.com/request/opt-out",http://avrickdirect.com/privacy-policy/,02/07/2020,,353085,,,,"AVRICK DIRECT, INC."
AWL Inc,,www.allwebleads.com,,,"7300 FM 2222 Building 2, Suite 100, austin, TX, 78730, USA",,,,,,367000,,,,
"Backgroundchecks.com LLC (""BGC"")",,www.backgroundchecks.com,,,"12770 Coit Road,, Suite 300, Dallas, TX, 75251, USA",,,,,,366591,,,,
"BB Direct, Inc",brianberg [at] bbdirect.com,http://www.bbdirect.com,,,"1212 Country Club Blvd, Ste. 201Cape Coral, FL 33990United States",Simply visit http://www.bbdirect.com/list-removal-request,Simply visit http://www.bbdirect.com/list-removal-request,"By visiting our List Removal Request page on our website, visitors can complete the form provided and request to be removed from future mailings, and ask us to provide what personal information we have on that individual.",04/01/2020,,,,,,
"BDO USA, LLP, Investigative Due Diligence group",privacy [at] bdo.com,http://www.bdo.com,,,"BDO USA, LLP -- Office of the General Counsel (Attn. CCPA Counsel)100 Park AvenueNew York, NY 10017United States","From BDO's homepage, a consumer may click on a hyperlink titled ""Do Not Sell My Personal Information - For CA Residents as to BDO Investigative Due Diligence"" to access a form to request to opt out of the sale of information relating to BDO's Investigative Due Diligence services. A consumer may submit requests to know and requests to delete by clicking on a hyperlink in BDO's Privacy Policy titled ""'California Consumer Request' form.""",Not applicable. BDO's Investigative Due Diligence group does not post online any such information.,"BDO does not sell any personal information received from its clients, nor does it sell any personal information obtained in the course of providing Tax, Audit & Assurance, and other Advisory services to its clients. In its Investigative Due Diligence practice, BDO is retained by its clients to research and provide personal information about individuals in the form of reports as part of investment, transactional, and other due diligence. This practice may amount to a “sale” of personal information as such term is defined under the CCPA.",02/07/2020,,,,,,
"BeenVerified, Inc. and its subsidiaries and affiliates",ccpa [at] beenverified.com,http://www.beenverified.com-www.peoplelooker.com-www.neighborwho.com-www.numberg...,,http://www.beenverified.com/faq,"48 West 38th Street, 8th FloorNew York, NY 10018United States",Via https://www.beenverified.com/app/optout/search or other related links provided on our website or by emailing us at ccpa@beenverified.com or by calling us at 888-579-5910,Via https://www.beenverified.com/app/optout/search or other similar links provided on our website or by emailing us at support@beenverified.com or by calling us at 888-579-5910,,02/07/2020,13 Apr 2020,366998,14 Apr 2020,,,"BeenVerified, Inc. and subsidiaries"
"Belardi Ostroy, ALC, LLC",,www.belardiwong.com,,,"39 Broadway, Floor 32, New York, NY, 10006, USA",,,,,,367552,,,,
Belardi Wong,Jason.bier [at] alc.com,http://WWW.BELARDIWONG.COM,,,"39 BroadwayFloor 32New York, NY 10006United States",By visiting www.belardiwong.com and submitting web form OneTrust requests.,By visiting the privacy policy of www.belardiwong.com.,,02/07/2020,,,,,,
"Big Brook Media, LLC",info [at] littlebrookmedia.com,http://www.littlebrookmedia.com,,,"20 South Main StreetNew City, NY 10956United States",Contact the Company,Contact the Company,,02/07/2020,,,,,,
BigCommerce,privacy@bigcommerce.com,,https://www.bigcommerce.com/privacy/,,"BigCommerce, Inc.",,,,,,,,,,SaaS provider for suspicious Facebook ads
"BIGtoken, Inc.",support [at] bigtoken.com,http://bigtoken.com,,,11305 Four Points,"They can submit a request through our website at bigtoken.com or use the ""delete data"" button in the BIGtoken application.","They can submit a request through our website at bigtoken.com or use the ""delete data"" button in the BIGtoken application.",None.,02/27/2020,,,,,,
"BLACK KNIGHT DATA & ANALYTICS, LLC",,www.blackknightinc.com,,,"Austin, TX 78726",,,,,,352751,,,,
"Blackbaud, Inc.",privacy [at] blackbaud.com,http://blackbaud.com,,,"65 Fairchild St.Charleston, SC 29492United States","Individuals can exercise their rights with respect to their personal data we control by visiting our CCPA page (https://www.blackbaud.com/company/california-consumer-privacy-act) or by calling Toll-Free Phone Number: 1-866-I-OPT-OUT, Service Code: 220.","Individuals can exercise their rights with respect to their personal data we control by visiting our CCPA page (https://www.blackbaud.com/company/california-consumer-privacy-act) or by calling Toll-Free Phone Number: 1-866-I-OPT-OUT, Service Code: 220.",,01/31/2020,,352827,,,,"Blackbaud, Inc."
"Blue Hill Marketing Solutions, inc",emailprivacy [at] liftbasedata.com,http://www.liftengine.com,,,"LiftEngine-1 Blue Hill PlazaPO Box 1674Pearl River, NY 10965United States",Complete a form at https://www.liftbasedata.com/request-to-know/,https://www.liftbasedata.com/request-to-know/,,01/22/2020,,,,,,
Bombora,,bombora.com,,,,,,,,,,,,,
Bridge Corp,,,https://www.thebridgecorp.com/privacy-policy/,,,,,,,,,,25 May 2020,,
Bureau van Dijk Electronic Publishing Ltd.,privacy [at] bvdinfo.com,https://www.bvdinfo.com/en-gb,,,"1 Canada Square, Canary WharfLondonUnited KingdomE14 5FAUnited Kingdom",https://www.bvdinfo.com/en-us/privacy-and-cookies,https://www.bvdinfo.com/en-us/privacy-and-cookies,,02/27/2020,,,,,,
Business.com,,www.business.com,,,"200 Fifth Avenue, Second Floor, Waltham, MA, 02451, USA",,,,,,367051,,,,
caller name,,,,,,,,,,13 Apr 2020,,,,,
Cardlytics,,cardlytics.com,,,,,,,,,,,,,
"CareerBuilder Employment Screening, LLC",,screen.careerbuilder.com,,,"3800 Golf Rd, Ste. 120, Rolling Meadows, IL, 60008, USA",,,,,,367361,,,,
Carney Direct Marketing,info [at] carneydirect.com,http://www.carneydirect.com,,,"15510 Rockfield Blvd Suite AIrvine, CA 92676United States","Consumer may opt out via email at privacy@carneydirect.com, via postal mail, or contact us toll-free at 800-240-3349.","We do not publicly post any consumer information online, or operate a website that involves user generated content. A protected individual can contact us via email at privacy@carneydirect.com, via postal mail, or toll-free at 800-240-3349.","For more information, please visit https://www.carneydirect.com/privacy-policy/",03/03/2020,,,,,,
"Catalist, LLC",,www.catalist.us,,,"1310 L ST NW Ste 500, Washington, DC, 20005, USA",,,,,,368357,,,,
"CBCInnovis, Inc.",,https://www.cbcinnovis.com/,,,"250 East Broad Street, Columbus, OH, 43215, USA",,,,,,367692,,,,
"CDK Global, LLC",,cdkglobal.com,,,"1950 Hassell Road, Hoffman Estates, IL, 60169, USA",,,,,,352820,,,,
cell revealer,,,,,,,,,,13 Apr 2020,,,,,
Centro,,,,http://privacy.centro.net/,,,,,,,,,,,
"Chartable Holding, Inc.",privacy [at] chartable.com,https://chartable.com,,,"535 5th Ave, Fl 16New York, NY 10017United States","Do Not Sell My Personal Information - https://www.requesteasy.com/5dcc2d4877702b00045328a0

You may also make those requests by calling 800-373-9053.","Do Not Sell My Personal Information - https://www.requesteasy.com/5dcc2d4877702b00045328a0

You may also make those requests by calling 800-373-9053.","For more information about how we collect and process data, visit chartable.com/privacy.",01/30/2020,,,,,,
CheckThem.com,,,https://www.checkthem.com/optout/,,,,,,,,,,,,
ChoicePoint Precision Marketing,,,,http://www.privacyatchoicepoint.com/optout_ext.html,,Fill out online form.,,,,,,14 Apr 2020,,,
Cision US Inc.,DPO [at] cision.com,http://www.cision.com,,,"12501 Indian Creek CourtBeltsville, MD 20705United States","Consumers can do this by emailing Privacy@cision.com, calling toll-free on 877-297-8921 or submitting a request via an online for at https://cision.service-now.com/gdpr?id=dsr_entry_form&lang=en","Cision does not post such information online but any deletion requests can be submitted by emailing Privacy@cision.com, calling toll-free on 877-297-8921 or submitting a request via an online for at https://cision.service-now.com/gdpr?id=dsr_entry_form&lang=en","Cision collect consumer personal information either directly from the consumer, or from publicly available sources such as:
•Articles or blogs the consumer may have written
•Vlogs the consumer may have created
•The consumer’s own website
•The consumer’s employer's websites
•The consumer’s publisher's website
•The consumer’s publicly available social media profiles (including, for example, Facebook, Instagram, Twitter, and LinkedIn)
•Telephone conversations which may be recorded by us to help us improve our training and quality
•Other publicly available online sources
•Other consumers (who may, for example, tell us if another consumer has changed jobs, but we will not publish that information until we have independently verified it)
•Our customers
•Third parties, such as Brandwatch, Talkwalker, IHS Markit and Capestart
•The consumer’s employer (if they are employed)
•The consumer’s press team tell us",02/07/2020,,366894,,,,Cision US Inc.
"Civis Analytics, Inc.",,https://www.civisanalytics.com,,,"200 W Monroe St, Suite 2200, Chicago, IL, 60606, USA",,,,,,352777,,,,
Claritas LLC.,al.gadbut [at] claritas.com,http://www.Claritas.com,,,"8044 Montgomery RoadSuite 455Cincinnati, OH 45236United States",There is a link on our home page and in our privacy policy. We also offer a 1-800 # to consumers to opt-out,There is a link on our home page and in our privacy policy. We also offer a 1-800 # to consumers to request deletion,,02/27/2020,,367691,,,,Claritas
"Clarity Services, Inc.",,www.clarityservices.com,,,"15550 Lightwave Drive, Suite 350, Clearwater, FL, 33760, USA",,,,,,352782,,,,
Classmates.com,,,,https://www.classmates.com/siteui/account/privacy,,,,,,,,,,,
"Clearview AI, Inc.",,www.clearview.ai,,,"214 W 29th Street, 2nd Floor, New York, NY, 10001, USA",,,,,,367103,,,,
Clickagy,support [at] clickagy.com,https://www.clickagy.com,,,"695 Mansell Rd, Suite 250Roswell, GA 30076United States",Via our website: https://www.clickagy.com/privacy/ or https://www.clickagy.com/ccpa/,Via our website: https://www.clickagy.com/ccpa/,We collect online behavioral data in compliance with all current US privacy laws.,01/23/2020,,,,,,
"CO2 Ventures, LLC dba Oncore Leads",leads [at] oncoreleads.com,http://oncoreleads.com,,,"9580 Oak Avenue Parkway, Suite 7Folsom, CA 95630United States",By following the directions provided on: https://oncoreleads.com/california-privacy-rights/,By following the directions provided on: https://oncoreleads.com/california-privacy-rights/,Please see: https://oncoreleads.com/california-privacy-rights/,04/01/2020,,,,,,
Cogensia LLC,cmora [at] cogensia.com,http://www.cogensia.com,,,"100 W Hillcrest Blvd, Ste 406Schaumburg, IL 60195United States",There are forms readily available on our company website under our Privacy Policy section.,All data requests are confidential and for release of information that resides in our databases will require the requesting consumer to validate their identity through either a cancelled check or utility bill to us at info@cogensia.com.,,01/23/2020,,,,,,
"Collateral Analytics, LLC",legal [at] collateralanalytics.com,https://search.homepricetrends.com/#/,,,"6700 Kalanianaole Hwy, Ste 210Honolulu, HI 96825United States","Consumers may exercise their right to opt out of sales by filing our a Consumer Rights Request Form, available online at https://search.homepricetrends.com/#/privacy, by emailing us at support@collateralanalytics.com, or by calling out toll free number at +1(808) 527-2428.","Consumers may exercise their right to delete information by emailing us at support@collateralanalytics.com, or by calling out toll free number at +1(808) 527-2428.",Please see our privacy policy: https://search.homepricetrends.com/#/privacy,01/30/2020,,,,,,
Commanders Act,,,https://www.commandersact.com/en/privacy/,,,,,,,,,,25 May 2020,,
